trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9670824410682997}",25,0,-154.32062167935715,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.9352484478226214}",20,0,-69.06032246151075,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.904462351925639}",20,0,-65.37081785807084,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.8746896591546225}",20,0,-127.92418334669387,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.8458970107524514}",25,15,4.596553089308224,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.8180521460508584}",20,0,-19.38494658716261,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.7911238663240253}",20,0,-44.29865082597858,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.7650819998320296}",20,0,-78.80908327386787,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.7398973680149756}",20,0,-59.18153184083716,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.7155417527999328}",20,0,-13.749031344231115,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.6919878649840489}",20,6,-88.69915765385464,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.669209313658415}",20,0,-101.00721994627965,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.6471805766384213}",25,0,-39.05272633040561,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.6258769718674743}",20,3,-79.98997256710648,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.8, 'e': 0.6052746297620326}",20,0,-60.54511156022909,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.5853504664669779}",20,0,-91.44820918260795,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.5660821579913529}",25,2,-86.97783549345569,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 1}",1
18,False,"{'a': 0.8, 'e': 0.5474481151954884}",20,0,-12.472202449595029,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.5294274596014926}",25,0,-120.13068716316796,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.8, 'e': 0.5120000000000001}",35,0,-56.09445597146231,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.49514620982696955}",25,0,-59.91976419450517,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.4788472052851822}",20,0,-90.13025896302923,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.8, 'e': 0.4630847241859273}",25,19,3.5643929769940748,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.4478411054871668}",20,0,-22.148673045242724,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.4330992695052551}",25,0,-53.41073395466929,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.4188426987780396}",25,8,3.378243078920778,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.40505541955790103}",30,0,45.41751386478568,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.3917219839139992}",20,10,11.602114036452095,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.37882745242366767}",20,5,-28.56825023931156,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.8, 'e': 0.3663573774335656}",25,0,-23.139751524519728,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.8, 'e': 0.3542977868718331}",20,0,-46.45807284899922,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.3426351685931085}",25,17,16.895060341495082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.33135645523887175}",20,0,-14.756811800714448,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.3204490095961469}",30,1,-31.262047289683256,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 1}",1
