trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.2503409774616,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.42381193900539,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.187235977840427,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.25830778707302,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.79943895764828,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.67987336084613,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.85576729219747,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.13678159529006,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.65032111334813,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.87308485772812,"{0: 8, 1: 0, 2: 9, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.19079168626727,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.38496322787779,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.234680647873162,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.607483000617556,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,10,-61.605583356905726,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.36760154662318,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-215.225117686289,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.34561331918096,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-138.42621714138502,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.0015006876152,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,9,-40.557650440542176,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.52153276443244,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.49622326119746,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.899601118913,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.82179778660685,"{0: 10, 1: 2, 2: 3, 3: 5, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.07213837345236,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.46284808538489,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.62705854500298,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-245.4463697430689,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.31962476205683,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
